Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Board,,,,2022-10-31 13:14:18,2022-10-31 13:20:59,6m - 41.036s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-31 13:14:18,2022-10-31 13:14:52,33.671s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:14:19,2022-10-31 13:14:47,27.962s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-31 13:14:47,2022-10-31 13:14:48,1.328s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-31 13:14:48,2022-10-31 13:14:50,1.957s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-31 13:14:50,2022-10-31 13:14:50,0.178s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), findTestData(""Board/BoardlListName/BoardlListName"").getValue(1, 1), 0)",,"User input text in ""Add New List"" field",,2022-10-31 13:14:50,2022-10-31 13:14:50,0.179s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-31 13:14:50,2022-10-31 13:14:52,1.629s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-31 13:14:52,2022-10-31 13:15:17,24.876s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:14:52,2022-10-31 13:15:12,19.529s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-31 13:15:12,2022-10-31 13:15:13,1.322s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-31 13:15:13,2022-10-31 13:15:16,2.793s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-31 13:15:16,2022-10-31 13:15:16,0.163s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), findTestData(""Board/BoardlListName/BoardlListName"").getValue(1, 2), 0)",,"User Input Empty Text on ""Add New List"" field",,2022-10-31 13:15:16,2022-10-31 13:15:16,0.112s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-31 13:15:16,2022-10-31 13:15:17,0.642s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-04,,,,2022-10-31 13:15:17,2022-10-31 13:15:47,30.214s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:15:18,2022-10-31 13:15:38,20.150s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-31 13:15:38,2022-10-31 13:15:38,0.156s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-31 13:15:38,2022-10-31 13:15:45,7.439s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-31 13:15:45,2022-10-31 13:15:45,0.197s,PASSED
