Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App,,,,2022-10-28 15:50:42,2022-10-28 15:57:11,6m - 29.384s,ERROR
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-28 15:50:42,2022-10-28 15:51:17,34.682s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 15:50:43,2022-10-28 15:51:12,29.334s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 15:51:12,2022-10-28 15:51:12,0.164s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-28 15:51:12,2022-10-28 15:51:14,2.207s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-28 15:51:14,2022-10-28 15:51:15,0.181s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), variable, 0)",,"User input text in ""Add New List"" field",,2022-10-28 15:51:15,2022-10-28 15:51:15,0.147s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-28 15:51:15,2022-10-28 15:51:17,2.219s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-28 15:51:17,2022-10-28 15:51:47,30.353s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 15:51:17,2022-10-28 15:51:43,25.079s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 15:51:43,2022-10-28 15:51:43,0.325s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-28 15:51:43,2022-10-28 15:51:46,2.791s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-28 15:51:46,2022-10-28 15:51:47,0.921s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), """", 0)",,"User Input Empty Text on ""Add New List"" field",,2022-10-28 15:51:47,2022-10-28 15:51:47,0.157s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-28 15:51:47,2022-10-28 15:51:47,0.629s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-04,,,,2022-10-28 15:51:47,2022-10-28 15:52:15,27.406s,ERROR
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 15:51:48,2022-10-28 15:52:12,24.391s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 15:52:12,2022-10-28 15:52:12,0.248s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-28 15:52:12,2022-10-28 15:52:14,2.119s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-28 15:52:14,2022-10-28 15:52:15,0.230s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), findTestData(""Card/cardUser"").getValue(1, 1), 0)",,"User Input Text in ""Your Card Name"" field",,2022-10-28 15:52:15,2022-10-28 15:52:15,0.110s,ERROR
,,,,,,,
Test Cases/Board/TC_Board_CS-05,,,,2022-10-28 15:52:15,2022-10-28 15:52:49,34.492s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 15:52:15,2022-10-28 15:52:38,22.729s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 15:52:38,2022-10-28 15:52:38,0.305s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-28 15:52:38,2022-10-28 15:52:49,10.657s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-28 15:52:49,2022-10-28 15:52:49,0.313s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), """", 0)",,"User Input Empty Text in ""Your Card Name"" field",,2022-10-28 15:52:49,2022-10-28 15:52:49,0.131s,PASSED
