Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App,,,,2022-10-28 19:48:04,2022-10-28 20:04:11,16m - 7.441s,FAILED
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-28 19:48:04,2022-10-28 19:48:43,38.973s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:48:05,2022-10-28 19:48:39,33.795s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 19:48:39,2022-10-28 19:48:40,1.033s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-28 19:48:40,2022-10-28 19:48:41,0.930s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-28 19:48:41,2022-10-28 19:48:41,0.250s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), variable, 0)",,"User input text in ""Add New List"" field",,2022-10-28 19:48:41,2022-10-28 19:48:41,0.190s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-28 19:48:41,2022-10-28 19:48:43,2.095s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-28 19:48:43,2022-10-28 19:49:11,28.084s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:48:44,2022-10-28 19:49:07,23.351s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 19:49:07,2022-10-28 19:49:08,1.534s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-28 19:49:08,2022-10-28 19:49:10,1.845s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-28 19:49:10,2022-10-28 19:49:11,0.300s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), """", 0)",,"User Input Empty Text on ""Add New List"" field",,2022-10-28 19:49:11,2022-10-28 19:49:11,0.128s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-28 19:49:11,2022-10-28 19:49:11,0.666s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-04,,,,2022-10-28 19:49:11,2022-10-28 19:49:43,31.409s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:49:12,2022-10-28 19:49:38,26.452s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 19:49:38,2022-10-28 19:49:39,0.230s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-28 19:49:39,2022-10-28 19:49:41,1.856s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-28 19:49:41,2022-10-28 19:49:41,0.174s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), findTestData(""Board/cardUser"").getValue(1, 1), 0)",,"User Input Text in ""Your Card Name"" field",,2022-10-28 19:49:41,2022-10-28 19:49:41,0.169s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-28 19:49:41,2022-10-28 19:49:43,1.952s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-05,,,,2022-10-28 19:49:43,2022-10-28 19:50:10,27.152s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:49:43,2022-10-28 19:50:07,24.198s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 19:50:07,2022-10-28 19:50:08,0.189s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-28 19:50:08,2022-10-28 19:50:09,1.798s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-28 19:50:09,2022-10-28 19:50:10,0.245s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), """", 0)",,"User Input Empty Text in ""Your Card Name"" field",,2022-10-28 19:50:10,2022-10-28 19:50:10,0.188s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-28 19:50:10,2022-10-28 19:50:10,0.124s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-06,,,,2022-10-28 19:50:10,2022-10-28 19:50:43,33.128s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:50:11,2022-10-28 19:50:35,24.047s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 19:50:35,2022-10-28 19:50:35,0.124s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-28 19:50:35,2022-10-28 19:50:36,0.899s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-Button""), 0)",,"User click ""Label"" button",,2022-10-28 19:50:36,2022-10-28 19:50:37,1.685s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-CreateNewLabel""), 0, OPTIONAL)",,"User click ""New Label"" button",,2022-10-28 19:50:37,2022-10-28 19:50:38,0.788s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/NameYourLabel-Field""), 0)",,"User click ""Name your label"" field",,2022-10-28 19:50:38,2022-10-28 19:50:38,0.163s,PASSED
"setText(findTestObject(""cicle.staging/Board/Label/NameYourLabel-Field""), Day1, 0)",,"User Input Text ""Name of Label""",,2022-10-28 19:50:38,2022-10-28 19:50:39,0.778s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/LabelColor-Green01""), 0)",,"User click one of ""Label Color""",,2022-10-28 19:50:39,2022-10-28 19:50:40,0.937s,PASSED
hideKeyboard(),,User Hide Keyboard,,2022-10-28 19:50:40,2022-10-28 19:50:41,0.732s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/SubmitLabel-Button""), 0)",,User click Submit Button,,2022-10-28 19:50:41,2022-10-28 19:50:43,2.345s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Board/Label/Assertion-Label-CreatingLabelForThisBoardSuccess""), 0)",,User get notificiation creating Label for this Board Success,,2022-10-28 19:50:43,2022-10-28 19:50:43,0.130s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-07,,,,2022-10-28 19:50:43,2022-10-28 19:51:14,30.448s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:50:44,2022-10-28 19:51:07,23.503s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 19:51:07,2022-10-28 19:51:07,0.186s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-28 19:51:07,2022-10-28 19:51:08,0.868s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-Button""), 0)",,"User click ""Label"" button",,2022-10-28 19:51:08,2022-10-28 19:51:10,1.655s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/Label-CreateNewLabel""), 3, OPTIONAL)",,"User click ""New Label"" button",,2022-10-28 19:51:10,2022-10-28 19:51:11,0.802s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/NameYourLabel-Field""), 0)",,"User click ""Name your label"" field",,2022-10-28 19:51:11,2022-10-28 19:51:12,1.048s,PASSED
"setText(findTestObject(""cicle.staging/Board/Label/NameYourLabel-Field""), """", 0)",,"User Input Empty ""Name of Label""",,2022-10-28 19:51:12,2022-10-28 19:51:12,0.192s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/LabelColor-Navy01""), 0)",,"User click one of ""Label Color""",,2022-10-28 19:51:12,2022-10-28 19:51:12,0.168s,PASSED
hideKeyboard(),,User Hide Keyboard,,2022-10-28 19:51:12,2022-10-28 19:51:13,0.567s,PASSED
"tap(findTestObject(""cicle.staging/Board/Label/SubmitLabel-Button""), 0)",,"User click ""Submit"" Button",,2022-10-28 19:51:13,2022-10-28 19:51:14,1.049s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-08,,,,2022-10-28 19:51:14,2022-10-28 19:51:45,31.736s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:51:14,2022-10-28 19:51:37,23.398s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 19:51:37,2022-10-28 19:51:38,0.233s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-28 19:51:38,2022-10-28 19:51:39,1.342s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddNewComment-Button""), 0)",,"User click ""Add new comment"" field",,2022-10-28 19:51:39,2022-10-28 19:51:42,2.750s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddComment2-Field""), 0)",,"User click ""Tell me your comment here"" field",,2022-10-28 19:51:42,2022-10-28 19:51:42,0.285s,PASSED
"setText(findTestObject(""cicle.staging/Board/Comment/AddComment2-Field""), Comment, 0)",,"User input text comment in ""Tell me your comment here"" field",,2022-10-28 19:51:42,2022-10-28 19:51:44,1.853s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/SubmitButton-Comment""), 0)",,"User click "" Submit "" button",,2022-10-28 19:51:44,2022-10-28 19:51:45,1.528s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-09,,,,2022-10-28 19:51:45,2022-10-28 19:52:17,31.843s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:51:46,2022-10-28 19:52:10,23.812s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-28 19:52:10,2022-10-28 19:52:10,0.200s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-28 19:52:10,2022-10-28 19:52:11,1.061s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddNewComment-Button""), 0)",,"User click ""Add new comment"" field",,2022-10-28 19:52:11,2022-10-28 19:52:13,2.574s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddComment2-Field""), 0)",,"User click ""Tell me your comment here"" field",,2022-10-28 19:52:13,2022-10-28 19:52:14,0.181s,PASSED
"setText(findTestObject(""cicle.staging/Board/Comment/AddComment2-Field""), """", 0)",,"User input empty text comment in ""Tell me your comment here"" field",,2022-10-28 19:52:14,2022-10-28 19:52:16,1.885s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/SubmitButton-Comment""), 0)",,"User click "" Submit "" button",,2022-10-28 19:52:16,2022-10-28 19:52:17,1.540s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Board/Comment/Assertion-CommentCantBeEmpty""), 0, STOP_ON_FAILURE)",,"Showing alert message ""comments can't be empty""",,2022-10-28 19:52:17,2022-10-28 19:52:17,0.134s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-10,,,,2022-10-28 19:52:17,2022-10-28 19:52:52,34.690s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:52:18,2022-10-28 19:52:41,23.669s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" Menu",,2022-10-28 19:52:41,2022-10-28 19:52:41,0.222s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-28 19:52:41,2022-10-28 19:52:42,0.879s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddNewComment-Button""), 0)",,"User click ""Add new comment"" field",,2022-10-28 19:52:42,2022-10-28 19:52:44,2.167s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddComment2-Field""), 0)",,"User click ""Tell your comment here"" field",,2022-10-28 19:52:44,2022-10-28 19:52:45,0.165s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddAttachmentPopUPKeyboard-Button""), 0, STOP_ON_FAILURE)",,"User click ""+"" on toolbar add comment",,2022-10-28 19:52:45,2022-10-28 19:52:46,1.217s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddImageOnComment-Button""), 0)",,"User click ""Image""button",,2022-10-28 19:52:46,2022-10-28 19:52:48,2.357s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddImageByURL-Comment""), 0)",,"User click ""By URL"" button",,2022-10-28 19:52:48,2022-10-28 19:52:49,1.132s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/InsertLinkHere-Image-Field""), 0)",,"User click ""URL""field",,2022-10-28 19:52:49,2022-10-28 19:52:50,0.179s,PASSED
"setText(findTestObject(""cicle.staging/Board/Comment/InsertLinkHere-Image-Field""), Url, 0)",,"User input valid ""URL""",,2022-10-28 19:52:50,2022-10-28 19:52:50,0.813s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/Comment-SelectInsert-Button""), 0)",,"User click ""Insert"" Button",,2022-10-28 19:52:50,2022-10-28 19:52:52,1.541s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-11,,,,2022-10-28 19:52:52,2022-10-28 19:53:29,36.681s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-28 19:52:52,2022-10-28 19:53:16,23.802s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" Menu",,2022-10-28 19:53:16,2022-10-28 19:53:16,0.166s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-28 19:53:16,2022-10-28 19:53:17,0.968s,PASSED
"tap(findTestObject(""cicle.staging/Board/Comment/AddNewComment-Button""), 0)",,"User click ""Add new comment"" field",,2022-10-28 19:53:17,2022-10-28 19:53:20,2.736s,PASSED
