Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App,,,,2022-10-29 14:37:29,2022-10-29 14:43:31,6m - 1.819s,FAILED
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-29 14:37:30,2022-10-29 14:38:03,33.756s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:37:30,2022-10-29 14:37:59,28.903s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-29 14:37:59,2022-10-29 14:37:59,0.125s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-29 14:37:59,2022-10-29 14:38:01,1.950s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-29 14:38:01,2022-10-29 14:38:01,0.144s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), variable, 0)",,"User input text in ""Add New List"" field",,2022-10-29 14:38:01,2022-10-29 14:38:01,0.121s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-29 14:38:01,2022-10-29 14:38:03,2.095s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-29 14:38:03,2022-10-29 14:38:29,25.447s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:38:04,2022-10-29 14:38:26,22.563s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-29 14:38:26,2022-10-29 14:38:26,0.168s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-29 14:38:26,2022-10-29 14:38:28,1.571s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-29 14:38:28,2022-10-29 14:38:28,0.147s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), findTestData(""Board/BoardlListName/BoardlListName"").getValue(1, 2), 0)",,"User Input Empty Text on ""Add New List"" field",,2022-10-29 14:38:28,2022-10-29 14:38:28,0.125s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-29 14:38:28,2022-10-29 14:38:29,0.619s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-04,,,,2022-10-29 14:38:29,2022-10-29 14:38:56,26.691s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:38:29,2022-10-29 14:38:52,22.483s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-29 14:38:52,2022-10-29 14:38:52,0.137s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-29 14:38:52,2022-10-29 14:38:54,1.733s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-29 14:38:54,2022-10-29 14:38:54,0.153s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), findTestData(""Board/Card/CardName"").getValue(1, 1), 0)",,"User Input Text in ""Your Card Name"" field",,2022-10-29 14:38:54,2022-10-29 14:38:54,0.093s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-29 14:38:54,2022-10-29 14:38:56,1.879s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-05,,,,2022-10-29 14:38:56,2022-10-29 14:39:21,25.435s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:38:56,2022-10-29 14:39:18,22.434s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-29 14:39:18,2022-10-29 14:39:18,0.159s,PASSED
