Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Board,,,,2022-10-30 01:52:43,2022-10-30 01:58:41,5m - 58.588s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-30 01:52:43,2022-10-30 01:53:14,30.952s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-30 01:52:44,2022-10-30 01:53:10,26.101s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-30 01:53:10,2022-10-30 01:53:10,0.148s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-30 01:53:10,2022-10-30 01:53:12,1.777s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-30 01:53:12,2022-10-30 01:53:12,0.143s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), variable, 0)",,"User input text in ""Add New List"" field",,2022-10-30 01:53:12,2022-10-30 01:53:12,0.157s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-30 01:53:12,2022-10-30 01:53:14,2.204s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-30 01:53:14,2022-10-30 01:53:37,23.236s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-30 01:53:14,2022-10-30 01:53:34,19.312s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-30 01:53:34,2022-10-30 01:53:35,0.877s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-30 01:53:35,2022-10-30 01:53:36,1.530s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-30 01:53:36,2022-10-30 01:53:37,0.367s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), findTestData(""Board/BoardlListName/BoardlListName"").getValue(1, 2), 0)",,"User Input Empty Text on ""Add New List"" field",,2022-10-30 01:53:37,2022-10-30 01:53:37,0.222s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-30 01:53:37,2022-10-30 01:53:37,0.639s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-04,,,,2022-10-30 01:53:37,2022-10-30 01:54:02,24.651s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-30 01:53:38,2022-10-30 01:53:57,19.405s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-30 01:53:57,2022-10-30 01:53:57,0.164s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-30 01:53:57,2022-10-30 01:53:59,1.999s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-30 01:53:59,2022-10-30 01:54:00,0.290s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), findTestData(""Board/Card/CardName"").getValue(1, 1), 0)",,"User Input Text in ""Your Card Name"" field",,2022-10-30 01:54:00,2022-10-30 01:54:00,0.153s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-30 01:54:00,2022-10-30 01:54:02,2.263s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-05,,,,2022-10-30 01:54:02,2022-10-30 01:54:25,22.427s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-30 01:54:02,2022-10-30 01:54:22,19.709s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-30 01:54:22,2022-10-30 01:54:22,0.136s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/AddNewCard-Button""), 0)",,"User click ""Add New Card"" button",,2022-10-30 01:54:22,2022-10-30 01:54:24,1.739s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), 0)",,"User click ""Your Card Name"" field",,2022-10-30 01:54:24,2022-10-30 01:54:24,0.145s,PASSED
"setText(findTestObject(""cicle.staging/Board/Card/YourCardName-Field""), findTestData(""Board/Card/CardName"").getValue(1, 2), 0)",,"User Input Empty Text in ""Your Card Name"" field",,2022-10-30 01:54:24,2022-10-30 01:54:24,0.178s,PASSED
"tap(findTestObject(""cicle.staging/Board/Check-Button""), 0)",,"User click ""Check"" button",,2022-10-30 01:54:24,2022-10-30 01:54:25,0.175s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-06,,,,2022-10-30 01:54:25,2022-10-30 01:55:23,57.966s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-30 01:54:25,2022-10-30 01:54:44,19.073s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-30 01:54:44,2022-10-30 01:54:44,0.114s,PASSED
"tap(findTestObject(""cicle.staging/Board/Card/userCardAccount""), 0)",,"User click one of ""Card Name""",,2022-10-30 01:54:44,2022-10-30 01:54:45,0.869s,PASSED
