Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Blast,,,,2022-10-31 08:44:21,2022-10-31 08:49:43,5m - 21.913s,PASSED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-24,,,,2022-10-31 08:44:22,2022-10-31 08:45:01,39.064s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 08:44:22,2022-10-31 08:44:51,28.660s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-31 08:44:51,2022-10-31 08:44:51,0.165s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-AddButtonOnTheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-31 08:44:51,2022-10-31 08:44:52,1.404s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-TypeATitleField""), 0)",,"User click ""Type a Title"" field",,2022-10-31 08:44:52,2022-10-31 08:44:55,2.426s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/POST-TypeATitleField""), findTestData(""Blast/Post/PostData"").getValue(1, 1), 0)",,"User input text in ""Type a Title"" field",,2022-10-31 08:44:55,2022-10-31 08:44:55,0.287s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-YourTextHereField""), 0)",,"User click ""Description"" field",,2022-10-31 08:44:55,2022-10-31 08:44:56,0.958s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/Post-DescriptionField1""), findTestData(""Blast/Post/PostData"").getValue(2, 1), 0, STOP_ON_FAILURE)",,"User input text in ""Description"" field",,2022-10-31 08:44:56,2022-10-31 08:44:58,1.694s,PASSED
hideKeyboard(),,User hide keyboard,,2022-10-31 08:44:58,2022-10-31 08:44:59,0.993s,PASSED
"swipe(724, 1830, 724, 1000)",,"User ""Swipe Up"" untill find ""Publish"" button",,2022-10-31 08:44:59,2022-10-31 08:45:00,1.051s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-PublishButton""), 0)",,"User click ""Publish"" button ",,2022-10-31 08:45:00,2022-10-31 08:45:01,1.048s,PASSED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-25,,,,2022-10-31 08:45:01,2022-10-31 08:45:31,29.695s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 08:45:01,2022-10-31 08:45:22,20.295s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-31 08:45:22,2022-10-31 08:45:22,0.140s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-AddButtonOnTheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-31 08:45:22,2022-10-31 08:45:24,2.257s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-TypeATitleField""), 0)",,"User click ""Type a Title"" field",,2022-10-31 08:45:24,2022-10-31 08:45:25,0.838s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/POST-TypeATitleField""), findTestData(""Blast/Post/PostData"").getValue(1, 3), 0)",,"User input empty text in ""Type a Title"" field",,2022-10-31 08:45:25,2022-10-31 08:45:26,0.839s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-YourTextHereField""), 0)",,"User click ""Description"" field",,2022-10-31 08:45:26,2022-10-31 08:45:26,0.142s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/Post-DescriptionField1""), findTestData(""Blast/Post/PostData"").getValue(2, 1), 0, STOP_ON_FAILURE)",,"User input text in ""Description"" field",,2022-10-31 08:45:26,2022-10-31 08:45:27,1.503s,PASSED
