Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Group Chat,,,,2022-10-31 07:54:56,2022-10-31 08:03:16,8m - 19.852s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-13,,,,2022-10-31 07:54:57,2022-10-31 07:55:36,39.217s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 07:54:57,2022-10-31 07:55:25,27.537s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" Menu",,2022-10-31 07:55:25,2022-10-31 07:55:25,0.154s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 07:55:25,2022-10-31 07:55:28,3.035s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-31 07:55:28,2022-10-31 07:55:28,0.149s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 07:55:28,2022-10-31 07:55:31,3.017s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(1, 1), 0)",,"User Input Text in ""Type Message"" Field",,2022-10-31 07:55:31,2022-10-31 07:55:31,0.206s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 07:55:31,2022-10-31 07:55:34,3.021s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-31 07:55:34,2022-10-31 07:55:36,1.531s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,Success to send Message on Group Chat,,2022-10-31 07:55:36,2022-10-31 07:55:36,0.208s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-14,,,,2022-10-31 07:55:36,2022-10-31 07:56:33,56.865s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 07:55:36,2022-10-31 07:55:56,19.944s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 07:55:56,2022-10-31 07:55:57,0.186s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 07:55:57,2022-10-31 07:56:00,3.011s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-31 07:56:00,2022-10-31 07:56:00,0.178s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 07:56:00,2022-10-31 07:56:03,3.013s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 1), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-31 07:56:03,2022-10-31 07:56:03,0.158s,PASSED
"verifyElementNotVisible(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,Send button it not showing to send message,,2022-10-31 07:56:03,2022-10-31 07:56:33,30.093s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-36,,,,2022-10-31 07:56:33,2022-10-31 07:56:59,25.858s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 07:56:33,2022-10-31 07:56:54,20.524s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 07:56:54,2022-10-31 07:56:54,0.154s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-31 07:56:54,2022-10-31 07:56:56,2.177s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 2), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-31 07:56:56,2022-10-31 07:56:57,0.777s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-31 07:56:57,2022-10-31 07:56:59,1.794s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,"Success to send message using Space button as empty character on Group Chat
",,2022-10-31 07:56:59,2022-10-31 07:56:59,0.111s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-39,,,,2022-10-31 07:56:59,2022-10-31 07:57:30,31.016s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 07:56:59,2022-10-31 07:57:19,19.752s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 07:57:19,2022-10-31 07:57:19,0.110s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-10-31 07:57:19,2022-10-31 07:57:24,5.010s,PASSED
"for ([i = 1, i < 2, (i++)])",,,,2022-10-31 07:57:24,2022-10-31 07:57:27,3.075s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/DeleteMessageOnGroupChatButton""), 0)",,"User click ""Delete"" button",,2022-10-31 07:57:27,2022-10-31 07:57:28,0.671s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/OkForSureDeleteMessage""), 0)",,"User click ""OK"" button",,2022-10-31 07:57:28,2022-10-31 07:57:30,1.985s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/AssertDeleteMessage""), 0)",,"Showing message ""Delete group chat message success""",,2022-10-31 07:57:30,2022-10-31 07:57:30,0.107s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-37,,,,2022-10-31 07:57:30,2022-10-31 07:57:59,28.878s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 07:57:30,2022-10-31 07:57:49,18.651s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 07:57:49,2022-10-31 07:57:50,1.315s,PASSED
delay(3),,,,2022-10-31 07:57:50,2022-10-31 07:57:53,3.022s,PASSED
"for ([i = 1, i < 2, (i++)])",,,,2022-10-31 07:57:53,2022-10-31 07:57:57,4.032s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Group Chat/CopyTextButton""), 0)",,"User click ""Copy"" button",,2022-10-31 07:57:57,2022-10-31 07:57:57,0.205s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/cicle.staging/Group Chat/AssertCopyTextToClipBoard""), 0)",,,,2022-10-31 07:57:57,2022-10-31 07:57:59,1.422s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-38,,,,2022-10-31 07:57:59,2022-10-31 07:58:29,29.820s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 07:57:59,2022-10-31 07:58:18,18.427s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 07:58:18,2022-10-31 07:58:19,1.311s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-10-31 07:58:19,2022-10-31 07:58:24,5.018s,PASSED
"for ([i = 1, i < 2, (i++)])",,,,2022-10-31 07:58:24,2022-10-31 07:58:27,3.011s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Group Chat/CopyTextButton""), 0)",,"User click ""Copy"" button",,2022-10-31 07:58:27,2022-10-31 07:58:28,1.582s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/cicle.staging/Group Chat/AssertCopyTextToClipBoard""), 0)",,,,2022-10-31 07:58:29,2022-10-31 07:58:29,0.138s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-15,,,,2022-10-31 07:58:29,2022-10-31 07:58:56,27.758s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 07:58:29,2022-10-31 07:58:49,20.289s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 07:58:49,2022-10-31 07:58:49,0.145s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-31 07:58:49,2022-10-31 07:58:51,1.268s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/MentionUser-Button""), 0)",,"User click ""@"" button",,2022-10-31 07:58:51,2022-10-31 07:58:52,1.401s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/MentionAllUserOnChat-Button""), 0)",,"User click ""Mention All User"" button",,2022-10-31 07:58:52,2022-10-31 07:58:53,0.954s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-31 07:58:53,2022-10-31 07:58:54,1.336s,PASSED
"verifyElementNotVisible(findTestObject(""cicle.staging/Group Chat/AssertMentionAllUser""), 2)",,Success Mentioned All User on Group Chat,,2022-10-31 07:58:54,2022-10-31 07:58:56,2.112s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-16,,,,2022-10-31 07:58:56,2022-10-31 07:59:25,28.796s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 07:58:57,2022-10-31 07:59:17,20.000s,PASSED
