Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App,,,,2022-10-29 14:24:59,2022-10-29 14:30:37,5m - 38.163s,ERROR
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-29 14:24:59,2022-10-29 14:25:34,34.606s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:24:59,2022-10-29 14:25:30,30.018s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-29 14:25:30,2022-10-29 14:25:30,0.106s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-29 14:25:30,2022-10-29 14:25:31,1.627s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-29 14:25:31,2022-10-29 14:25:31,0.138s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), variable, 0)",,"User input text in ""Add New List"" field",,2022-10-29 14:25:31,2022-10-29 14:25:32,0.129s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-29 14:25:32,2022-10-29 14:25:34,2.167s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-29 14:25:34,2022-10-29 14:26:00,26.645s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:25:34,2022-10-29 14:25:57,23.018s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-29 14:25:57,2022-10-29 14:25:57,0.135s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-29 14:25:57,2022-10-29 14:25:59,2.308s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-29 14:25:59,2022-10-29 14:26:00,0.141s,PASSED
