Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Blast,,,,2022-10-29 15:30:13,2022-10-29 15:36:32,6m - 19.134s,FAILED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-24,,,,2022-10-29 15:30:14,2022-10-29 15:30:50,36.615s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 15:30:14,2022-10-29 15:30:40,26.140s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-29 15:30:40,2022-10-29 15:30:40,0.143s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-AddButtonOnTheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-29 15:30:40,2022-10-29 15:30:42,1.389s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-TypeATitleField""), 0)",,"User click ""Type a Title"" field",,2022-10-29 15:30:42,2022-10-29 15:30:44,2.328s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/POST-TypeATitleField""), findTestData(""Blast/Post/PostData"").getValue(1, 1), 0)",,"User input text in ""Type a Title"" field",,2022-10-29 15:30:44,2022-10-29 15:30:44,0.202s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-YourTextHereField""), 0)",,"User click ""Description"" field",,2022-10-29 15:30:44,2022-10-29 15:30:45,0.984s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/Post-DescriptionField1""), findTestData(""Blast/Post/PostData"").getValue(2, 1), 0, STOP_ON_FAILURE)",,"User input text in ""Description"" field",,2022-10-29 15:30:45,2022-10-29 15:30:47,1.417s,PASSED
hideKeyboard(),,User hide keyboard,,2022-10-29 15:30:47,2022-10-29 15:30:47,0.243s,PASSED
"swipe(724, 1830, 724, 1000)",,"User ""Swipe Up"" untill find ""Publish"" button",,2022-10-29 15:30:47,2022-10-29 15:30:48,0.952s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-PublishButton""), 0)",,"User click ""Publish"" button ",,2022-10-29 15:30:48,2022-10-29 15:30:50,2.428s,PASSED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-25,,,,2022-10-29 15:30:50,2022-10-29 15:31:18,28.067s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 15:30:50,2022-10-29 15:31:09,18.670s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-29 15:31:09,2022-10-29 15:31:09,0.136s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-AddButtonOnTheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-29 15:31:09,2022-10-29 15:31:11,1.638s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-TypeATitleField""), 0)",,"User click ""Type a Title"" field",,2022-10-29 15:31:11,2022-10-29 15:31:13,1.722s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/POST-TypeATitleField""), findTestData(""Blast/Post/PostData"").getValue(1, 3), 0)",,"User input empty text in ""Type a Title"" field",,2022-10-29 15:31:13,2022-10-29 15:31:13,0.797s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-YourTextHereField""), 0)",,"User click ""Description"" field",,2022-10-29 15:31:13,2022-10-29 15:31:14,0.143s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/Post-DescriptionField1""), findTestData(""Blast/Post/PostData"").getValue(2, 1), 0, STOP_ON_FAILURE)",,"User input text in ""Description"" field",,2022-10-29 15:31:14,2022-10-29 15:31:15,1.454s,PASSED
hideKeyboard(),,User hide keyboard,,2022-10-29 15:31:15,2022-10-29 15:31:15,0.150s,PASSED
"swipe(724, 1830, 724, 1000)",,"User ""Swipe Up"" untill find ""Publish"" button",,2022-10-29 15:31:15,2022-10-29 15:31:16,0.927s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-PublishButton""), 0)",,"User click ""Publish"" button ",,2022-10-29 15:31:16,2022-10-29 15:31:18,1.993s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Blast/Post/POST-Assert-TitleMustBeFilled""), 0)",,,,2022-10-29 15:31:18,2022-10-29 15:31:18,0.129s,PASSED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-26,,,,2022-10-29 15:31:18,2022-10-29 15:31:46,27.635s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 15:31:19,2022-10-29 15:31:36,17.768s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-29 15:31:36,2022-10-29 15:31:37,0.155s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-AddButtonOnTheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-29 15:31:37,2022-10-29 15:31:39,2.688s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-TypeATitleField""), 0)",,"User click ""Type a Title"" field",,2022-10-29 15:31:39,2022-10-29 15:31:39,0.149s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/POST-TypeATitleField""), findTestData(""Blast/Post/PostData"").getValue(1, 2), 0)",,"User input Text in ""Type a Title"" field",,2022-10-29 15:31:39,2022-10-29 15:31:40,0.746s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-YourTextHereField""), 0)",,"User click ""Description"" field",,2022-10-29 15:31:40,2022-10-29 15:31:41,0.969s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Post/Post-DescriptionField1""), findTestData(""Blast/Post/PostData"").getValue(2, 3), 0, STOP_ON_FAILURE)",,"User input empty text in ""Description"" field",,2022-10-29 15:31:41,2022-10-29 15:31:43,1.498s,PASSED
hideKeyboard(),,User hide keyboard,,2022-10-29 15:31:43,2022-10-29 15:31:43,0.127s,PASSED
"swipe(724, 1830, 724, 1000)",,"User ""Swipe Up"" untill find ""Publish"" button",,2022-10-29 15:31:43,2022-10-29 15:31:44,0.905s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Post/POST-PublishButton""), 0)",,"User click ""Publish"" button ",,2022-10-29 15:31:44,2022-10-29 15:31:46,2.148s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Blast/Post/POST-Assert-DescriptionMustBeFilled""), 0)",,,,2022-10-29 15:31:46,2022-10-29 15:31:46,0.102s,PASSED
,,,,,,,
Test Cases/Blast/TC_Blast_CS-27,,,,2022-10-29 15:31:46,2022-10-29 15:32:14,28.174s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 15:31:46,2022-10-29 15:32:04,17.656s,PASSED
"tap(findTestObject(""cicle.staging/Blast/Menu/BlastMenu""), 0)",,"User click ""Blast"" menu",,2022-10-29 15:32:04,2022-10-29 15:32:04,0.160s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-AddButtonOntheBottomRightSide""), 0)",,"User click ""+"" button on the bottom right corner",,2022-10-29 15:32:04,2022-10-29 15:32:06,2.504s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-TypeATitleField""), 0)",,"User click ""Type a title"" field",,2022-10-29 15:32:06,2022-10-29 15:32:08,1.507s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Description/Desc-TypeATitleField""), findTestData(""Blast/Desc/Desc"").getValue(1, 1), 0)",,,,2022-10-29 15:32:08,2022-10-29 15:32:08,0.236s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-InsertLinkToolBar""), 0)",,,,2022-10-29 15:32:08,2022-10-29 15:32:10,1.712s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-TextToDisplay1Field""), 0)",,,,2022-10-29 15:32:10,2022-10-29 15:32:11,0.817s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-TextToDisplay2Field""), 0)",,,,2022-10-29 15:32:11,2022-10-29 15:32:11,0.135s,PASSED
"setText(findTestObject(""cicle.staging/Blast/Description/Desc-TextToDisplay2Field""), findTestData(""Blast/Desc/Desc"").getValue(2, 1), 0)",,,,2022-10-29 15:32:11,2022-10-29 15:32:11,0.098s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-URL1Field""), 0)",,,,2022-10-29 15:32:11,2022-10-29 15:32:12,0.923s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Blast/Description/Desc-URL2Field""), 0)",,,,2022-10-29 15:32:12,2022-10-29 15:32:13,0.797s,PASSED
