Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Group Chat,,,,2022-10-29 14:57:26,2022-10-29 15:06:22,8m - 55.963s,FAILED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-13,,,,2022-10-29 14:57:26,2022-10-29 14:57:55,28.984s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:57:27,2022-10-29 14:57:51,24.282s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" Menu",,2022-10-29 14:57:51,2022-10-29 14:57:51,0.132s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-29 14:57:51,2022-10-29 14:57:53,2.199s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(1, 1), 0)",,"User Input Text in ""Type Message"" Field",,2022-10-29 14:57:53,2022-10-29 14:57:53,0.194s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-29 14:57:53,2022-10-29 14:57:55,1.687s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,Success to send Message on Group Chat,,2022-10-29 14:57:55,2022-10-29 14:57:55,0.121s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-14,,,,2022-10-29 14:57:55,2022-10-29 14:58:46,50.983s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:57:55,2022-10-29 14:58:13,17.721s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 14:58:13,2022-10-29 14:58:14,0.968s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-29 14:58:14,2022-10-29 14:58:15,1.089s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 1), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-29 14:58:15,2022-10-29 14:58:16,0.837s,PASSED
"verifyElementNotVisible(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,Send button it not showing to send message,,2022-10-29 14:58:16,2022-10-29 14:58:46,30.136s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-15,,,,2022-10-29 14:58:46,2022-10-29 14:59:39,53.138s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:58:46,2022-10-29 14:59:04,17.743s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 14:59:04,2022-10-29 14:59:04,0.129s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-29 14:59:04,2022-10-29 14:59:06,1.281s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/MentionUser-Button""), 0)",,"User click ""@"" button",,2022-10-29 14:59:06,2022-10-29 14:59:07,1.337s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/MentionAllUserOnChat-Button""), 0)",,"User click ""Mention All User"" button",,2022-10-29 14:59:07,2022-10-29 14:59:08,0.971s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-29 14:59:08,2022-10-29 14:59:09,1.305s,PASSED
