Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Group Chat,,,,2022-10-31 13:21:25,2022-10-31 13:30:34,9m - 8.708s,FAILED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-13,,,,2022-10-31 13:21:25,2022-10-31 13:22:05,39.696s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:21:26,2022-10-31 13:21:52,26.604s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" Menu",,2022-10-31 13:21:52,2022-10-31 13:21:54,1.396s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 13:21:54,2022-10-31 13:21:57,3.035s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-31 13:21:57,2022-10-31 13:21:57,0.199s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 13:21:57,2022-10-31 13:22:00,3.016s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(1, 1), 0)",,"User Input Text in ""Type Message"" Field",,2022-10-31 13:22:00,2022-10-31 13:22:00,0.233s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 13:22:00,2022-10-31 13:22:03,3.037s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-31 13:22:03,2022-10-31 13:22:05,1.666s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,Success to send Message on Group Chat,,2022-10-31 13:22:05,2022-10-31 13:22:05,0.160s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-14,,,,2022-10-31 13:22:05,2022-10-31 13:23:03,57.574s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:22:05,2022-10-31 13:22:25,19.409s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 13:22:25,2022-10-31 13:22:26,1.325s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 13:22:26,2022-10-31 13:22:29,3.021s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-31 13:22:29,2022-10-31 13:22:29,0.207s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 13:22:29,2022-10-31 13:22:32,3.048s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 1), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-31 13:22:32,2022-10-31 13:22:33,0.173s,PASSED
"verifyElementNotVisible(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,Send button it not showing to send message,,2022-10-31 13:22:33,2022-10-31 13:23:03,30.120s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-36,,,,2022-10-31 13:23:03,2022-10-31 13:23:59,56.625s,FAILED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:23:03,2022-10-31 13:23:29,25.718s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 13:23:29,2022-10-31 13:23:59,30.604s,FAILED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-39,,,,2022-10-31 13:23:59,2022-10-31 13:24:31,31.926s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 13:24:00,2022-10-31 13:24:20,20.455s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 13:24:20,2022-10-31 13:24:20,0.186s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-10-31 13:24:20,2022-10-31 13:24:25,5.017s,PASSED
"for ([i = 1, i < 2, (i++)])",,,,2022-10-31 13:24:25,2022-10-31 13:24:29,3.060s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/DeleteMessageOnGroupChatButton""), 0)",,"User click ""Delete"" button",,2022-10-31 13:24:29,2022-10-31 13:24:29,0.701s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/OkForSureDeleteMessage""), 0)",,"User click ""OK"" button",,2022-10-31 13:24:29,2022-10-31 13:24:31,2.053s,PASSED
