Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Group Chat,,,,2022-10-29 18:59:24,2022-10-29 19:01:18,1m - 53.667s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-13,,,,2022-10-29 18:59:24,2022-10-29 18:59:59,34.350s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 18:59:25,2022-10-29 18:59:55,29.872s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" Menu",,2022-10-29 18:59:55,2022-10-29 18:59:56,1.038s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-29 18:59:56,2022-10-29 18:59:56,0.172s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(1, 1), 0)",,"User Input Text in ""Type Message"" Field",,2022-10-29 18:59:56,2022-10-29 18:59:57,0.936s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-29 18:59:57,2022-10-29 18:59:58,1.758s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,Success to send Message on Group Chat,,2022-10-29 18:59:58,2022-10-29 18:59:59,0.190s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-14,,,,2022-10-29 18:59:59,2022-10-29 19:00:52,53.580s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 18:59:59,2022-10-29 19:00:20,20.708s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 19:00:20,2022-10-29 19:00:20,0.240s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-29 19:00:20,2022-10-29 19:00:22,2.081s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 1), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-29 19:00:22,2022-10-29 19:00:22,0.175s,PASSED
"verifyElementNotVisible(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,Send button it not showing to send message,,2022-10-29 19:00:22,2022-10-29 19:00:52,30.132s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-36,,,,2022-10-29 19:00:52,2022-10-29 19:01:18,25.239s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 19:00:53,2022-10-29 19:01:13,20.509s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 19:01:13,2022-10-29 19:01:14,1.328s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-29 19:01:14,2022-10-29 19:01:15,0.226s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 2), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-29 19:01:15,2022-10-29 19:01:15,0.858s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-29 19:01:15,2022-10-29 19:01:17,1.849s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,"Success to send message using Space button as empty character on Group Chat
",,2022-10-29 19:01:17,2022-10-29 19:01:18,0.199s,PASSED
