Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Group Chat,,,,2022-10-31 12:32:46,2022-10-31 12:40:33,7m - 46.599s,FAILED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-13,,,,2022-10-31 12:32:46,2022-10-31 12:33:25,39.006s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 12:32:47,2022-10-31 12:33:12,25.339s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" Menu",,2022-10-31 12:33:12,2022-10-31 12:33:13,1.302s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 12:33:13,2022-10-31 12:33:17,3.030s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-31 12:33:17,2022-10-31 12:33:17,0.883s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 12:33:17,2022-10-31 12:33:20,3.012s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(1, 1), 0)",,"User Input Text in ""Type Message"" Field",,2022-10-31 12:33:20,2022-10-31 12:33:21,0.208s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 12:33:21,2022-10-31 12:33:24,3.017s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-31 12:33:24,2022-10-31 12:33:25,1.654s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,Success to send Message on Group Chat,,2022-10-31 12:33:25,2022-10-31 12:33:25,0.216s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-14,,,,2022-10-31 12:33:26,2022-10-31 12:34:22,56.630s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-31 12:33:26,2022-10-31 12:33:44,18.578s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-31 12:33:44,2022-10-31 12:33:46,1.312s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 12:33:46,2022-10-31 12:33:49,3.013s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-31 12:33:49,2022-10-31 12:33:49,0.167s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-31 12:33:49,2022-10-31 12:33:52,3.017s,PASSED
