Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Group Chat,,,,2022-10-30 02:41:25,2022-10-30 02:49:42,8m - 17.473s,FAILED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-13,,,,2022-10-30 02:41:25,2022-10-30 02:42:04,38.379s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-30 02:41:26,2022-10-30 02:41:53,27.133s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" Menu",,2022-10-30 02:41:53,2022-10-30 02:41:53,0.123s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-30 02:41:53,2022-10-30 02:41:56,3.021s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-30 02:41:56,2022-10-30 02:41:56,0.152s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-30 02:41:56,2022-10-30 02:41:59,3.015s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(1, 1), 0)",,"User Input Text in ""Type Message"" Field",,2022-10-30 02:41:59,2022-10-30 02:41:59,0.173s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-30 02:41:59,2022-10-30 02:42:02,3.016s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-30 02:42:02,2022-10-30 02:42:04,1.223s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,Success to send Message on Group Chat,,2022-10-30 02:42:04,2022-10-30 02:42:04,0.131s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-14,,,,2022-10-30 02:42:04,2022-10-30 02:43:00,56.613s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-30 02:42:04,2022-10-30 02:42:24,19.754s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-30 02:42:24,2022-10-30 02:42:24,0.122s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-30 02:42:24,2022-10-30 02:42:27,3.012s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-30 02:42:27,2022-10-30 02:42:27,0.140s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-10-30 02:42:27,2022-10-30 02:42:30,3.034s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 1), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-30 02:42:30,2022-10-30 02:42:30,0.138s,PASSED
"verifyElementNotVisible(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,Send button it not showing to send message,,2022-10-30 02:42:30,2022-10-30 02:43:00,30.142s,PASSED
,,,,,,,
