Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Group Chat,,,,2022-10-29 21:28:26,2022-10-29 21:31:43,3m - 16.352s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-13,,,,2022-10-29 21:28:27,2022-10-29 21:28:59,32.658s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 21:28:27,2022-10-29 21:28:54,26.863s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" Menu",,2022-10-29 21:28:54,2022-10-29 21:28:55,0.971s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-29 21:28:55,2022-10-29 21:28:56,1.058s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(1, 1), 0)",,"User Input Text in ""Type Message"" Field",,2022-10-29 21:28:56,2022-10-29 21:28:57,1.000s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-29 21:28:57,2022-10-29 21:28:58,1.455s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,Success to send Message on Group Chat,,2022-10-29 21:28:58,2022-10-29 21:28:59,0.949s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-14,,,,2022-10-29 21:28:59,2022-10-29 21:29:52,52.785s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 21:29:00,2022-10-29 21:29:20,20.344s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 21:29:20,2022-10-29 21:29:20,0.200s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-29 21:29:20,2022-10-29 21:29:21,0.982s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 1), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-29 21:29:21,2022-10-29 21:29:22,0.865s,PASSED
"verifyElementNotVisible(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,Send button it not showing to send message,,2022-10-29 21:29:22,2022-10-29 21:29:52,30.102s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-36,,,,2022-10-29 21:29:52,2022-10-29 21:30:16,24.177s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 21:29:52,2022-10-29 21:30:12,19.867s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 21:30:12,2022-10-29 21:30:12,0.183s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-29 21:30:12,2022-10-29 21:30:14,1.095s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 2), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-29 21:30:14,2022-10-29 21:30:14,0.866s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-29 21:30:14,2022-10-29 21:30:16,1.721s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,"Success to send message using Space button as empty character on Group Chat
",,2022-10-29 21:30:16,2022-10-29 21:30:16,0.139s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-39,,,,2022-10-29 21:30:16,2022-10-29 21:30:43,26.715s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 21:30:17,2022-10-29 21:30:36,19.146s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 21:30:36,2022-10-29 21:30:37,0.965s,PASSED
"for ([i = 1, i <= 4, (i++)])",,,,2022-10-29 21:30:37,2022-10-29 21:30:40,3.258s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/DeleteMessageOnGroupChatButton""), 0)",,"User click ""Delete"" button",,2022-10-29 21:30:40,2022-10-29 21:30:41,0.678s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/OkForSureDeleteMessage""), 0)",,"User click ""OK"" button",,2022-10-29 21:30:41,2022-10-29 21:30:43,2.137s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/AssertDeleteMessage""), 0)",,"Showing message ""Delete group chat message success""",,2022-10-29 21:30:43,2022-10-29 21:30:43,0.206s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-37,,,,2022-10-29 21:30:43,2022-10-29 21:31:17,34.310s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 21:30:43,2022-10-29 21:31:03,19.450s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 21:31:03,2022-10-29 21:31:03,0.242s,PASSED
"for ([i = 1, i <= 4, (i++)])",,,,2022-10-29 21:31:03,2022-10-29 21:31:05,1.766s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Group Chat/CopyTextButton""), 0)",,"User click ""Copy"" button",,2022-10-29 21:31:05,2022-10-29 21:31:17,12.426s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/cicle.staging/Group Chat/AssertCopyTextToClipBoard""), 0)",,,,2022-10-29 21:31:17,2022-10-29 21:31:17,0.195s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-38,,,,2022-10-29 21:31:17,2022-10-29 21:31:43,25.189s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 21:31:18,2022-10-29 21:31:37,19.737s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 21:31:37,2022-10-29 21:31:37,0.160s,PASSED
"for ([i = 1, i <= 4, (i++)])",,,,2022-10-29 21:31:37,2022-10-29 21:31:41,3.331s,PASSED
"tap(findTestObject(""Object Repository/cicle.staging/Group Chat/CopyTextButton""), 0)",,"User click ""Copy"" button",,2022-10-29 21:31:41,2022-10-29 21:31:42,1.588s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/cicle.staging/Group Chat/AssertCopyTextToClipBoard""), 0)",,,,2022-10-29 21:31:42,2022-10-29 21:31:43,0.153s,PASSED
