Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App,,,,2022-10-29 14:47:38,2022-10-29 14:52:46,5m - 8.352s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-02,,,,2022-10-29 14:47:38,2022-10-29 14:48:07,29.077s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:47:38,2022-10-29 14:48:03,24.343s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-29 14:48:03,2022-10-29 14:48:03,0.116s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-29 14:48:03,2022-10-29 14:48:05,1.731s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-29 14:48:05,2022-10-29 14:48:05,0.136s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), variable, 0)",,"User input text in ""Add New List"" field",,2022-10-29 14:48:05,2022-10-29 14:48:05,0.131s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-29 14:48:05,2022-10-29 14:48:07,2.193s,PASSED
,,,,,,,
Test Cases/Board/TC_Board_CS-03,,,,2022-10-29 14:48:07,2022-10-29 14:48:28,20.563s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 14:48:07,2022-10-29 14:48:25,17.805s,PASSED
"tap(findTestObject(""cicle.staging/Board/Board-Menu""), 0)",,"User click ""Board"" menu",,2022-10-29 14:48:25,2022-10-29 14:48:25,0.125s,PASSED
"tap(findTestObject(""cicle.staging/Board/AddButtonOntheBottomRightSideBoard-Button""), 0)",,"User click button ""+"" button on the bottom right corner",,2022-10-29 14:48:25,2022-10-29 14:48:27,1.535s,PASSED
"tap(findTestObject(""cicle.staging/Board/Addnewlist-Field""), 0)",,"User click ""Add New List"" field",,2022-10-29 14:48:27,2022-10-29 14:48:27,0.152s,PASSED
"setText(findTestObject(""cicle.staging/Board/Addnewlist-Field""), findTestData(""Board/BoardlListName/BoardlListName"").getValue(1, 2), 0)",,"User Input Empty Text on ""Add New List"" field",,2022-10-29 14:48:27,2022-10-29 14:48:27,0.144s,PASSED
"tap(findTestObject(""cicle.staging/Board/SubmitButton-Board""), 0)",,"User click ""Submit"" button",,2022-10-29 14:48:27,2022-10-29 14:48:28,0.597s,PASSED
,,,,,,,
