Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cicle Staging Mobile App - Group Chat,,,,2022-10-29 19:47:30,2022-10-29 19:49:50,2m - 19.644s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-13,,,,2022-10-29 19:47:30,2022-10-29 19:48:03,33.058s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 19:47:31,2022-10-29 19:47:59,28.507s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" Menu",,2022-10-29 19:47:59,2022-10-29 19:47:59,0.161s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" Field",,2022-10-29 19:47:59,2022-10-29 19:48:01,1.153s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(1, 1), 0)",,"User Input Text in ""Type Message"" Field",,2022-10-29 19:48:01,2022-10-29 19:48:02,0.974s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-29 19:48:02,2022-10-29 19:48:03,1.743s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,Success to send Message on Group Chat,,2022-10-29 19:48:03,2022-10-29 19:48:03,0.159s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-14,,,,2022-10-29 19:48:03,2022-10-29 19:48:56,52.440s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 19:48:04,2022-10-29 19:48:23,19.734s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 19:48:23,2022-10-29 19:48:24,0.201s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-29 19:48:24,2022-10-29 19:48:25,0.992s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 1), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-29 19:48:25,2022-10-29 19:48:26,0.982s,PASSED
"verifyElementNotVisible(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,Send button it not showing to send message,,2022-10-29 19:48:26,2022-10-29 19:48:56,30.255s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-36,,,,2022-10-29 19:48:56,2022-10-29 19:49:21,25.515s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 19:48:56,2022-10-29 19:49:17,20.446s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 19:49:17,2022-10-29 19:49:17,0.216s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), 0)",,"User click ""Type Message"" field",,2022-10-29 19:49:17,2022-10-29 19:49:18,1.138s,PASSED
"setText(findTestObject(""cicle.staging/Group Chat/TypeMessage-Field""), findTestData(""GroupChat/sendMessageonGroupChat"").getValue(2, 2), 0)",,"User Input Empty Text in ""Type Message"" Field",,2022-10-29 19:49:18,2022-10-29 19:49:19,0.927s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/SendChat-Button""), 0)",,User click Send button,,2022-10-29 19:49:19,2022-10-29 19:49:20,1.456s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/Assertion-SendChat""), 0)",,"Success to send message using Space button as empty character on Group Chat
",,2022-10-29 19:49:20,2022-10-29 19:49:21,0.944s,PASSED
,,,,,,,
Test Cases/GroupChat/TC_Group Chat_CS-39,,,,2022-10-29 19:49:21,2022-10-29 19:49:50,28.132s,PASSED
"callTestCase(findTestCase(""Sign in/TC_Sign in_CS-40""), [:], STOP_ON_FAILURE)",,,,2022-10-29 19:49:22,2022-10-29 19:49:43,21.544s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/GroupChatMenu""), 0)",,"User click ""Group Chat"" menu",,2022-10-29 19:49:43,2022-10-29 19:49:43,0.134s,PASSED
"for ([i = 1, i <= 4, (i++)])",,,,2022-10-29 19:49:43,2022-10-29 19:49:47,3.171s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/DeleteMessageOnGroupChatButton""), 0)",,"User click ""Delete"" button",,2022-10-29 19:49:47,2022-10-29 19:49:47,0.715s,PASSED
"tap(findTestObject(""cicle.staging/Group Chat/OkForSureDeleteMessage""), 0)",,"User click ""OK"" button",,2022-10-29 19:49:47,2022-10-29 19:49:49,2.060s,PASSED
"verifyElementVisible(findTestObject(""cicle.staging/Group Chat/AssertDeleteMessage""), 0)",,"Showing message ""Delete group chat message success""",,2022-10-29 19:49:49,2022-10-29 19:49:50,0.135s,PASSED
